10,28,35
1,909,34
2,2525,83
3,13459,401
4,490,27
5,1809,67
6,515,34
7,110,24
8,187,30
9,23,29
10,29,33
1,403,16
2,1398,54
3,5238,167
4,298,23
5,662,37
6,1945,75
7,133,28
8,53,29
9,28,31
10,27,34
1,10993,343
2,8594,253
3,871,37
4,6420,200
5,697,40
6,93,24
7,164,28
8,223,32
9,26,28
10,45,35
1,18344,512
2,2202,73
3,11202,322
4,1048,41
5,5353,170
6,3241,121
7,148,28
8,169,32
9,27,31
10,22,33
1,3050,94
2,1947,61
3,519,26
4,170,18
5,2992,104
6,591,41
7,60,25
8,198,34
9,28,32
10,23,34
1,4020,122
2,6819,208
3,7664,220
4,342,24
5,1106,48
6,350,27
7,93,25
8,49,25
9,28,28
10,25,40
1,2546,82
2,958,36
3,16042,458
4,1495,54
5,855,40
6,3566,121
7,343,34
8,42,27
9,24,31
10,24,33
1,1129,36
2,15416,442
3,1259,50
4,1188,45
5,733,37
6,479,33
7,295,30
8,107,30
9,37,31
10,24,34
1,813,30
2,4957,145
3,11159,331
4,474,27
5,733,37
6,817,42
7,165,26
8,36,28
9,27,27
10,23,34
1,2842,91
2,6544,189
3,548,28
4,3642,118
5,1687,67
6,1108,55
7,136,29
8,64,28
9,38,29
10,35,31
1,2811,84
2,4197,129
3,2658,82
4,539,28
5,795,39
6,1961,80
7,120,26
8,125,31
9,50,32
10,25,35
1,7024,205
2,1134,43
3,4207,131
4,6414,207
5,3132,104
6,1052,49
7,149,25
8,330,35
9,38,32
10,30,36
1,1557,52
2,4628,138
3,16834,483
4,1334,49
5,5683,179
6,170,25
7,160,29
8,90,28
9,30,29
10,24,31
1,2366,70
2,2110,73
3,1582,56
4,5755,183
5,961,44
6,2459,92
7,107,26
8,271,35
9,31,30
10,23,36
1,7249,214
2,14472,411
3,7050,208
4,1424,54
5,2322,82
6,497,33
7,61,24
8,64,29
9,34,32
10,27,36
1,7902,245
2,33560,966
3,3922,117
4,1088,43
5,462,28
6,706,42
7,66,28
8,43,29
9,35,33
10,22,31
1,5815,187
2,4304,143
3,1791,64
4,930,40
5,512,33
6,2255,88
7,363,32
8,114,32
9,27,32
10,34,34
1,15067,441
2,4164,122
3,3053,91
4,5153,177
5,203,22
6,776,44
7,93,26
8,78,28
9,30,31
10,23,31
1,1823,59
2,3858,125
3,830,38
4,708,33
5,1209,56
6,1377,67
7,122,26
8,122,28
9,26,29
10,24,35
1,1287,44
2,7557,226
3,724,33
4,1366,56
5,803,40
6,864,43
7,50,25
8,87,29
9,33,31
10,27,35
1,10281,301
2,1467,50
3,2021,68
4,4606,150
5,2024,78
6,5246,171
7,52,26
8,35,28
9,38,30
10,30,32
1,2909,87
2,5644,171
3,4820,149
4,1703,62
5,591,34
6,746,39
7,146,27
8,103,28
9,42,30
10,32,34
1,3702,115
2,2770,85
3,4868,166
4,331,27
5,571,36
6,1330,63
7,47,25
8,142,31
9,33,29
10,29,34
1,17809,527
2,6048,176
3,15996,460
4,1923,68
5,809,40
6,1551,64
7,228,28
8,122,31
9,37,33
10,26,36
1,22311,672
2,1737,62
3,7212,206
4,604,31
5,1045,49
6,2139,85
7,120,26
8,156,32
9,25,31
10,33,35
1,635,25
2,12517,368
3,5348,159
4,3377,109
5,604,34
6,597,37
7,175,29
8,37,26
9,27,29
10,30,32
1,8800,261
2,15864,446
3,350,21
4,979,41
5,292,24
6,561,37
7,101,26
8,144,29
9,29,29
10,34,33
1,10410,300
2,2098,63
3,210,17
4,1014,42
5,1261,52
6,221,25
7,91,27
8,267,35
9,45,32
10,29,33
1,3492,104
2,16507,479
3,1878,65
4,718,33
5,1391,59
6,2589,96
7,79,26
8,62,30
9,28,31
10,24,31
1,1503,49
2,3279,100
3,172,16
4,243,22
5,1123,50
6,903,45
7,139,25
8,53,27
9,27,30
10,32,37
1,5748,178
2,24158,691
3,28106,855
4,906,39
5,5995,189
6,784,43
7,93,26
8,38,27
9,32,28
10,25,32
1,725,25
2,16974,542
3,248,17
4,1157,46
5,1393,54
6,308,27
7,44,23
8,102,27
9,33,32
10,30,34
1,4085,141
2,15519,445
3,24614,698
4,607,32
5,803,38
6,2932,103
7,240,28
8,40,28
9,31,31
10,28,34
1,8924,255
2,4464,133
3,3126,98
4,2272,79
5,2313,83
6,1460,61
7,59,25
8,41,27
9,31,30
10,26,32
1,1733,54
2,2434,78
3,401,24
4,1193,50
5,2543,94
6,1659,66
7,49,26
8,70,28
9,31,30
10,30,32
1,2703,83
2,3008,93
3,3586,118
4,644,31
5,269,23
6,2234,92
7,62,24
8,120,27
9,29,31
10,29,34
1,5380,153
2,6397,203
3,1029,41
4,155,19
5,1621,62
6,480,33
7,139,25
8,65,29
9,30,30
10,23,34
1,885,32
2,20204,576
3,1165,44
4,3347,111
5,116,19
6,2239,86
7,93,27
8,61,29
9,29,28
10,23,33
1,3076,94
2,4834,149
3,1330,50
4,5297,170
5,397,28
6,100,23
7,198,29
8,415,40
9,34,31
